year,Country,GDPPC_I,FC,FR
1989,"Afghanistan",150.1634,4159,147.95
1990,"Afghanistan",154.19,3060,103.25
1991,"Afghanistan",153.7579,5477,171.81
1992,"Afghanistan",154.6032,2537,72.69
1993,"Afghanistan",157.7073,1972,51.37
1994,"Afghanistan",162.681,1886,45.36
1995,"Afghanistan",170.288,1601,36.22
1996,"Afghanistan",181.1873,1455,31.61
1997,"Afghanistan",192.7446,1273,26.97
1998,"Afghanistan",201.1814,1232,25.69
1999,"Afghanistan",209.6829,1143,23.43
2000,"Afghanistan",217.6893,995,20.09
2001,"Afghanistan",226.2404,1004,19.58
2002,"Afghanistan",231.9725,992,18.56
2003,"Afghanistan",241.6213,1013,18.17
2004,"Afghanistan",234.9966,815,14.03
2005,"Afghanistan",252.4079,885,14.70
2006,"Afghanistan",258.4187,839,13.47
2007,"Afghanistan",285.9171,906,14.15
2008,"Afghanistan",288.7582,785,11.90
2009,"Afghanistan",340.9314,960,14.14
2010,"Afghanistan",360.7056,897,12.78
2011,"Afghanistan",373.4517,847,11.67
2012,"Afghanistan",417.0551,883,11.76
2013,"Afghanistan",415.0035,901,11.54
1989,"Albania",1925.568,187,13.69
1990,"Albania",1710.137,214,15.34
1991,"Albania",1211.405,248,17.64
1992,"Albania",1131.022,396,28.16
1993,"Albania",1247.187,434,31.05
1994,"Albania",1359.021,419,30.06
1995,"Albania",1549.311,443,32.11
1996,"Albania",1700.836,208,15.18
1997,"Albania",1536.934,214,15.60
1998,"Albania",1743.059,206,15.14
1999,"Albania",1931.302,183,13.58
2000,"Albania",2085.537,178,13.28
2001,"Albania",2252.565,163,12.28
2002,"Albania",2324.851,161,12.05
2003,"Albania",2466.579,146,11.04
2004,"Albania",2623.046,142,10.82
2005,"Albania",2781.511,137,10.53
2006,"Albania",2939.071,131,10.26
2007,"Albania",3136.09,124,9.81
2008,"Albania",3398.413,117,9.38
2009,"Albania",3536.154,118,9.55
2010,"Albania",3685.487,122,9.83
2011,"Albania",3790.018,124,9.91
2012,"Albania",3857.255,128,10.18
2013,"Albania",3916.145,132,10.39
1989,"Algeria",2589.73,430,7.14
1990,"Algeria",2544.478,418,6.71
1991,"Algeria",2452.814,416,6.37
1992,"Algeria",2438.793,470,6.87
1993,"Algeria",2334.802,493,6.90
1994,"Algeria",2265.893,482,6.45
1995,"Algeria",2306.85,510,6.51
1996,"Algeria",2358.806,554,6.77
1997,"Algeria",2345.439,526,6.26
1998,"Algeria",2427.068,608,7.04
1999,"Algeria",2468.227,615,6.92
2000,"Algeria",2487.286,548,6.01
2001,"Algeria",2567.151,598,6.38
2002,"Algeria",2675.725,604,6.28
2003,"Algeria",2830.965,626,6.35
2004,"Algeria",2912.29,630,6.23
2005,"Algeria",3038.749,596,5.75
2006,"Algeria",3041.481,603,5.69
2007,"Algeria",3092.039,620,5.71
2008,"Algeria",3098.41,610,5.50
2009,"Algeria",3091.058,708,6.24
2010,"Algeria",3143.629,699,6.00
2011,"Algeria",3171.735,710,5.95
2012,"Algeria",3215.207,750,6.14
2013,"Algeria",3243.99,803,6.46
1989,"American Samoa",,3,14.60
1990,"American Samoa",,3,14.76
1991,"American Samoa",,3,13.24
1992,"American Samoa",,3,14.48
1993,"American Samoa",,3,15.72
1994,"American Samoa",,3,12.85
1995,"American Samoa",,3,13.88
1996,"American Samoa",,3,13.73
1997,"American Samoa",,3,12.74
1998,"American Samoa",,3,12.97
1999,"American Samoa",,3,12.72
2000,"American Samoa",,3,12.24
2001,"American Samoa",,3,11.83
2002,"American Samoa",,3,11.67
2003,"American Samoa",,3,11.52
2004,"American Samoa",,3,11.50
2005,"American Samoa",,3,11.58
2006,"American Samoa",,3,11.47
2007,"American Samoa",,3,11.54
2008,"American Samoa",,3,11.46
2009,"American Samoa",,3,11.34
2010,"American Samoa",,3,11.44
2011,"American Samoa",,3,11.39
2012,"American Samoa",,3,10.93
2013,"American Samoa",,3,11.04
1989,"Andorra",24497.91,1,3.21
1990,"Andorra",24462.54,1,3.21
1991,"Andorra",24127.96,1,3.24
1992,"Andorra",23430.23,1,3.29
1993,"Andorra",22390.67,1,3.37
1994,"Andorra",22301.34,1,3.38
1995,"Andorra",22504.66,1,3.36
1996,"Andorra",23397.17,1,3.30
1997,"Andorra",25592.02,1,3.14
1998,"Andorra",26530.09,1,3.08
1999,"Andorra",27494.75,1,3.00
2000,"Andorra",27255.99,1,3.01
2001,"Andorra",29298.84,1,2.88
2002,"Andorra",29444.25,1,2.86
2003,"Andorra",29769.19,1,2.84
2004,"Andorra",30329.59,1,2.80
2005,"Andorra",31268.97,1,2.74
2006,"Andorra",33125.39,1,2.62
2007,"Andorra",33840.23,1,2.59
2008,"Andorra",35628.41,1,2.49
2009,"Andorra",35177.33,1,2.53
2010,"Andorra",36132.98,1,2.49
2011,"Andorra",36794.67,1,2.47
2012,"Andorra",37366.5,1,2.46
2013,"Andorra",37870.98,1,2.45
1989,"Angola",1595.538,551,14.77
1990,"Angola",1547.232,569,14.79
1991,"Angola",1482.906,441,11.11
1992,"Angola",1336.665,280,6.80
1993,"Angola",973.8143,297,6.91
1994,"Angola",976.0331,249,5.62
1995,"Angola",1045.359,262,5.74
1996,"Angola",1130.046,264,5.65
1997,"Angola",1186.963,295,6.15
1998,"Angola",1234.33,350,7.13
1999,"Angola",1239.132,274,5.43
2000,"Angola",1238.476,277,5.33
2001,"Angola",1249.446,317,5.90
2002,"Angola",1374.253,345,6.24
2003,"Angola",1396.236,357,6.24
2004,"Angola",1494.297,360,6.09
2005,"Angola",1706.544,356,5.88
2006,"Angola",1990.841,354,5.68
2007,"Angola",2359.28,364,5.68
2008,"Angola",2597.056,357,5.42
2009,"Angola",2573.687,428,6.25
2010,"Angola",2576.647,438,6.16
2011,"Angola",2593.844,442,6.01
2012,"Angola",2643.72,428,5.60
2013,"Angola",2737.877,491,6.22
1989,"Antigua and Barbuda",9427.04,1,4.88
1990,"Antigua and Barbuda",9676.493,1,4.92
1991,"Antigua and Barbuda",9793.5,1,4.89
1992,"Antigua and Barbuda",9717.444,2,4.93
1993,"Antigua and Barbuda",10014.83,2,4.90
1994,"Antigua and Barbuda",10379.39,2,4.80
1995,"Antigua and Barbuda",9684.083,2,4.89
1996,"Antigua and Barbuda",10057.75,2,4.86
1997,"Antigua and Barbuda",10258.96,2,4.87
1998,"Antigua and Barbuda",10426.21,2,4.82
1999,"Antigua and Barbuda",10593.96,2,4.79
2000,"Antigua and Barbuda",10897.78,2,4.49
2001,"Antigua and Barbuda",10372.81,2,4.56
2002,"Antigua and Barbuda",10535,2,4.56
2003,"Antigua and Barbuda",11037.46,2,4.51
2004,"Antigua and Barbuda",11505.19,2,4.44
2005,"Antigua and Barbuda",12079.87,2,4.39
2006,"Antigua and Barbuda",13547.71,2,4.18
2007,"Antigua and Barbuda",14671.13,2,4.08
2008,"Antigua and Barbuda",14517.81,2,4.06
2009,"Antigua and Barbuda",12629.71,2,4.22
2010,"Antigua and Barbuda",11602.14,2,4.39
2011,"Antigua and Barbuda",11275.28,2,4.50
2012,"Antigua and Barbuda",11607.75,2,4.46
2013,"Antigua and Barbuda",11481.38,2,4.47
1989,"Argentina",4123.762,1158,8.90
1990,"Argentina",3968.768,1093,8.24
1991,"Argentina",4410.719,1070,7.98
1992,"Argentina",4871.757,1071,7.90
1993,"Argentina",5092.509,1055,7.66
1994,"Argentina",5321.187,1004,7.18
1995,"Argentina",5105.401,980,6.84
1996,"Argentina",5321.729,995,6.85
1997,"Argentina",5684.591,970,6.58
1998,"Argentina",5835.028,1092,7.31
1999,"Argentina",5574.924,1069,7.05
2000,"Argentina",5472.709,915,5.95
2001,"Argentina",5179.454,924,5.90
2002,"Argentina",4571.737,680,4.27
2003,"Argentina",4930.813,718,4.43
2004,"Argentina",5328.56,804,4.61
2005,"Argentina",5767.657,857,4.85
2006,"Argentina",6195.385,995,5.55
2007,"Argentina",6634.52,1020,5.65
2008,"Argentina",6777.496,828,4.55
2009,"Argentina",6721.433,809,4.41
2010,"Argentina",7275.373,778,4.24
2011,"Argentina",7827.368,756,4.06
2012,"Argentina",7836.789,714,3.79
2013,"Argentina",7994.962,728,3.81
1989,"Armenia",1158.719,143,8.50
1990,"Armenia",1146.3,140,8.33
1991,"Armenia",1021.632,180,10.82
1992,"Armenia",605.3481,222,13.74
1993,"Armenia",565.1556,439,27.94
1994,"Armenia",610.1099,335,21.85
1995,"Armenia",665.7184,305,20.32
1996,"Armenia",715.8137,251,16.93
1997,"Armenia",748.0186,212,14.39
1998,"Armenia",808.9908,227,15.47
1999,"Armenia",840.857,195,13.26
2000,"Armenia",895.5977,168,11.40
2001,"Armenia",986.3615,186,12.57
2002,"Armenia",1121.174,168,11.50
2003,"Armenia",1283.216,153,10.53
2004,"Armenia",1422.404,156,10.87
2005,"Armenia",1625.397,134,9.44
2006,"Armenia",1847.273,130,9.28
2007,"Armenia",2110.415,128,9.19
2008,"Armenia",2265.425,119,8.62
2009,"Armenia",1950.983,126,9.03
2010,"Armenia",1997.039,131,9.06
2011,"Armenia",2090.459,153,10.30
2012,"Armenia",2237.228,147,9.87
2013,"Armenia",2309.708,151,10.03
1989,"Aruba",23595.07,1,3.26
1990,"Aruba",23687.89,1,3.25
1991,"Aruba",23360.24,1,3.27
1992,"Aruba",22928.23,1,3.30
1993,"Aruba",23188.58,1,3.28
1994,"Aruba",23086.94,1,3.29
1995,"Aruba",22319.25,1,3.34
1996,"Aruba",23233.54,1,3.28
1997,"Aruba",24129.28,1,3.19
1998,"Aruba",23896.34,1,3.19
1999,"Aruba",24490.15,1,3.17
2000,"Aruba",23902.92,1,3.21
2001,"Aruba",22873,1,3.28
2002,"Aruba",22471.19,2,3.32
2003,"Aruba",23657.84,2,3.22
2004,"Aruba",23517.57,2,3.22
2005,"Aruba",23302.83,2,3.22
2006,"Aruba",23662.63,1,3.18
2007,"Aruba",22710.24,2,3.24
2008,"Aruba",21121.39,2,3.37
2009,"Aruba",19912.76,2,3.51
2010,"Aruba",20541.74,2,3.47
2011,"Aruba",21247.89,2,3.42
2012,"Aruba",22048.3,2,3.37
2013,"Aruba",22411.65,2,3.35
1989,"Australia",24543.65,303,3.62
1990,"Australia",25036.54,297,3.49
1991,"Australia",24614.16,291,3.41
1992,"Australia",24415.55,295,3.42
1993,"Australia",25148.74,294,3.39
1994,"Australia",25890.43,296,3.35
1995,"Australia",26572.34,296,3.27
1996,"Australia",27260.71,299,3.27
1997,"Australia",28020.5,296,3.21
1998,"Australia",28958.65,291,3.12
1999,"Australia",30062.38,288,3.06
2000,"Australia",30856.31,290,3.01
2001,"Australia",31030.19,299,3.05
2002,"Australia",31837.94,303,3.05
2003,"Australia",32415.82,293,2.90
2004,"Australia",33374.04,293,2.86
2005,"Australia",33995.85,296,2.80
2006,"Australia",34499.83,297,2.75
2007,"Australia",35574.16,289,2.63
2008,"Australia",36159.27,295,2.62
2009,"Australia",36035.07,301,2.61
2010,"Australia",36175.03,306,2.61
2011,"Australia",36504.18,308,2.59
2012,"Australia",37218.08,307,2.55
2013,"Australia",37491.51,311,2.55
1989,"Austria",28054.69,179,5.13
1990,"Austria",29051.63,198,5.62
1991,"Austria",29752.93,206,5.76
1992,"Austria",30043.35,171,4.66
1993,"Austria",29953.59,195,5.26
1994,"Austria",30555.29,160,4.18
1995,"Austria",31322.51,171,4.45
1996,"Austria",32030.44,166,4.36
1997,"Austria",32699.64,158,4.13
1998,"Austria",33826.6,156,4.09
1999,"Austria",34972.86,146,3.80
2000,"Austria",36064.06,145,3.77
2001,"Austria",36411.46,142,3.65
2002,"Austria",36832.73,134,3.39
2003,"Austria",36930.9,128,3.19
2004,"Austria",37695.56,129,3.23
2005,"Austria",38241.09,130,3.19
2006,"Austria",39327.41,122,2.94
2007,"Austria",40619.78,120,2.82
2008,"Austria",41119.35,115,2.69
2009,"Austria",39453.71,116,2.69
2010,"Austria",40098.96,185,4.29
2011,"Austria",41191.49,73,1.68
2012,"Austria",41366.52,98,2.23
2013,"Austria",41217.2,91,2.06
1989,"Azerbaijan",1676.338,383,13.24
1990,"Azerbaijan",1668.862,374,12.81
1991,"Azerbaijan",1631.653,426,14.35
1992,"Azerbaijan",1243.91,381,12.44
1993,"Azerbaijan",942.1447,400,12.75
1994,"Azerbaijan",746.3846,482,15.11
1995,"Azerbaijan",650.7729,399,12.34
1996,"Azerbaijan",652.6093,402,12.23
1997,"Azerbaijan",683.8319,337,10.07
1998,"Azerbaijan",745.1094,316,9.26
1999,"Azerbaijan",793.2552,320,9.20
2000,"Azerbaijan",874.0961,302,8.48
2001,"Azerbaijan",953.2177,296,8.13
2002,"Azerbaijan",1046.422,291,7.80
2003,"Azerbaijan",1154.838,278,7.31
2004,"Azerbaijan",1261.539,268,6.87
2005,"Azerbaijan",1578.367,248,6.23
2006,"Azerbaijan",2099.71,229,5.61
2007,"Azerbaijan",2596.063,227,5.46
2008,"Azerbaijan",2815.965,225,5.23
2009,"Azerbaijan",3017.66,244,5.47
2010,"Azerbaijan",3126.724,238,5.28
2011,"Azerbaijan",3088.282,239,5.17
2012,"Azerbaijan",3114.563,248,5.22
2013,"Azerbaijan",3252.758,254,5.25
1989,"Bahamas",23154.72,4,3.47
1990,"Bahamas",22387.35,4,3.57
1991,"Bahamas",21059.76,5,3.74
1992,"Bahamas",19873.91,5,3.82
1993,"Bahamas",19566.83,5,3.85
1994,"Bahamas",19837.96,5,3.84
1995,"Bahamas",20393.85,5,3.83
1996,"Bahamas",20983.35,5,3.75
1997,"Bahamas",21179.63,5,3.75
1998,"Bahamas",21942.87,5,3.64
1999,"Bahamas",23228.8,5,3.51
2000,"Bahamas",23841.87,5,3.48
2001,"Bahamas",24044.25,5,3.48
2002,"Bahamas",24212.39,6,3.51
2003,"Bahamas",23407.4,6,3.52
2004,"Bahamas",23117.76,6,3.50
2005,"Bahamas",23416.9,6,3.46
2006,"Bahamas",23538.91,6,3.46
2007,"Bahamas",23430.72,7,3.49
2008,"Bahamas",22472.88,7,3.55
2009,"Bahamas",21160.86,7,3.63
2010,"Bahamas",21128.51,8,3.64
2011,"Bahamas",21013.41,8,3.64
2012,"Bahamas",20909.28,8,3.64
2013,"Bahamas",20746.86,8,3.59
1989,"Bahrain",14406.47,8,3.88
1990,"Bahrain",14596.77,11,5.13
1991,"Bahrain",15799.51,4,1.79
1992,"Bahrain",16433.88,25,10.75
1993,"Bahrain",18100.19,22,9.12
1994,"Bahrain",17612.45,6,2.41
1995,"Bahrain",17831.84,20,7.78
1996,"Bahrain",18053.39,14,5.30
1997,"Bahrain",18060.25,9,3.32
1998,"Bahrain",18308.21,15,5.37
1999,"Bahrain",18399,16,5.52
2000,"Bahrain",18581.88,16,5.27
2001,"Bahrain",18213.2,10,3.13
2002,"Bahrain",18000.91,14,4.17
2003,"Bahrain",18108.42,21,5.91
2004,"Bahrain",18228.7,14,3.66
2005,"Bahrain",18156.38,29,6.83
2006,"Bahrain",17879.08,25,5.24
2007,"Bahrain",17835,22,4.07
2008,"Bahrain",17527.96,23,3.80
2009,"Bahrain",16834.28,32,4.75
2010,"Bahrain",16722.26,32,4.54
2011,"Bahrain",16528.66,37,5.03
2012,"Bahrain",16796.19,34,4.53
2013,"Bahrain",17502.19,36,4.88
1989,"Bangladesh",260.8372,7149,15.62
1990,"Bangladesh",269.6271,7313,15.51
1991,"Bangladesh",272.1711,6934,14.28
1992,"Bangladesh",279.5384,6853,13.80
1993,"Bangladesh",286.05,6286,12.39
1994,"Bangladesh",291.4637,6281,12.12
1995,"Bangladesh",299.44,6583,12.41
1996,"Bangladesh",306.8012,6348,11.71
1997,"Bangladesh",316.7459,6479,11.70
1998,"Bangladesh",326.6806,6457,11.40
1999,"Bangladesh",336.0284,6602,11.42
2000,"Bangladesh",349.5054,6736,11.42
2001,"Bangladesh",361.5309,6730,11.11
2002,"Bangladesh",371.2208,6599,10.63
2003,"Bangladesh",384.6131,6601,10.38
2004,"Bangladesh",402.8004,6610,10.16
2005,"Bangladesh",421.1233,6582,9.90
2006,"Bangladesh",443.6678,6567,9.68
2007,"Bangladesh",469.8331,6615,9.57
2008,"Bangladesh",492.9951,6677,9.49
2009,"Bangladesh",512.5567,6654,9.28
2010,"Bangladesh",535.3063,6769,9.27
2011,"Bangladesh",563.4348,6881,9.23
2012,"Bangladesh",593.0676,6866,9.03
2013,"Bangladesh",621.1055,6800,8.76
1989,"Barbados",12878.09,6,4.76
1990,"Barbados",12216.86,6,4.59
1991,"Barbados",11822.85,6,4.65
1992,"Barbados",11200.29,6,4.75
1993,"Barbados",11278.54,6,4.71
1994,"Barbados",11694.35,6,4.54
1995,"Barbados",11835.96,7,4.64
1996,"Barbados",12020.2,7,4.65
1997,"Barbados",12753.96,6,4.45
1998,"Barbados",13240.22,6,4.30
1999,"Barbados",13540.12,6,4.33
2000,"Barbados",13801.26,6,4.25
2001,"Barbados",13393.86,6,4.32
2002,"Barbados",13422.52,6,4.29
2003,"Barbados",13620.64,6,4.26
2004,"Barbados",13746.78,6,4.20
2005,"Barbados",14224.98,6,4.15
2006,"Barbados",14962.62,6,4.09
2007,"Barbados",15138.09,6,4.05
2008,"Barbados",15115.79,6,4.05
2009,"Barbados",14418.79,7,4.13
2010,"Barbados",14383.68,7,4.14
2011,"Barbados",14420.37,7,4.13
2012,"Barbados",14349.55,7,4.18
2013,"Barbados",14677.95,7,4.15
1989,"Belarus",2316.308,442,8.40
1990,"Belarus",2328.933,400,7.59
1991,"Belarus",2299.857,402,7.73
1992,"Belarus",2074.594,401,7.79
1993,"Belarus",1912.619,408,8.00
1994,"Belarus",1690.824,370,7.34
1995,"Belarus",1519.883,345,6.93
1996,"Belarus",1567.668,312,6.35
1997,"Belarus",1753.805,310,6.38
1998,"Belarus",1910.187,294,6.12
1999,"Belarus",1981.826,298,6.26
2000,"Belarus",2103.059,258,5.43
2001,"Belarus",2219.516,234,4.96
2002,"Belarus",2346.386,228,4.86
2003,"Belarus",2529.08,214,4.59
2004,"Belarus",2838.062,248,5.35
2005,"Belarus",3126.368,235,5.11
2006,"Belarus",3460.131,228,5.01
2007,"Belarus",3774.998,214,4.74
2008,"Belarus",4174.019,185,4.14
2009,"Belarus",4191.605,184,4.15
2010,"Belarus",4524.158,179,4.01
2011,"Belarus",4783.534,173,3.89
2012,"Belarus",4870.983,168,3.76
2013,"Belarus",4913.518,163,3.62
1989,"Belgium",27732.11,117,2.96
1990,"Belgium",28517.01,115,2.91
1991,"Belgium",28932.04,117,2.89
1992,"Belgium",29255.95,117,2.86
1993,"Belgium",28861.58,119,2.90
1994,"Belgium",29701.25,119,2.85
1995,"Belgium",30345.94,118,2.81
1996,"Belgium",30756.53,117,2.79
1997,"Belgium",31830.73,115,2.72
1998,"Belgium",32400.01,114,2.69
1999,"Belgium",33527.12,114,2.61
2000,"Belgium",34633.36,113,2.56
2001,"Belgium",34833.45,110,2.55
2002,"Belgium",35218.46,111,2.53
2003,"Belgium",35383.43,112,2.52
2004,"Belgium",36440.62,111,2.47
2005,"Belgium",36927.11,112,2.43
2006,"Belgium",37649.27,111,2.40
2007,"Belgium",38495.16,111,2.35
2008,"Belgium",38556.34,112,2.34
2009,"Belgium",37245.82,115,2.41
2010,"Belgium",37744.63,117,2.39
2011,"Belgium",37920.35,116,2.37
2012,"Belgium",37681.64,117,2.39
2013,"Belgium",37600.82,119,2.41
1989,"Belize",2386.058,6,9.66
1990,"Belize",2580.775,6,9.61
1991,"Belize",2794.816,6,9.06
1992,"Belize",3074.544,6,8.82
1993,"Belize",3209.454,6,8.52
1994,"Belize",3152.123,6,8.61
1995,"Belize",3101.696,6,8.88
1996,"Belize",3065.825,7,8.87
1997,"Belize",3085.752,7,8.78
1998,"Belize",3107.336,7,8.59
1999,"Belize",3281.373,7,8.74
2000,"Belize",3604.656,7,8.48
2001,"Belize",3683.375,7,8.04
2002,"Belize",3770.902,8,7.94
2003,"Belize",4017.694,8,8.51
2004,"Belize",4098.251,9,8.43
2005,"Belize",4097.539,9,8.11
2006,"Belize",4176.751,9,7.85
2007,"Belize",4116.528,9,7.50
2008,"Belize",4143.083,9,7.29
2009,"Belize",4069.057,9,7.35
2010,"Belize",4101.051,10,7.45
2011,"Belize",4085.591,10,7.41
2012,"Belize",4140.017,11,7.93
2013,"Belize",4103.894,12,8.05
1989,"Benin",434.56,352,18.72
1990,"Benin",457.94,329,16.85
1991,"Benin",460.5988,347,17.09
1992,"Benin",456.9662,348,16.44
1993,"Benin",465.945,366,16.56
1994,"Benin",458.5706,358,15.54
1995,"Benin",470.1358,380,15.95
1996,"Benin",475.3254,428,17.39
1997,"Benin",487.969,440,17.42
1998,"Benin",492.9467,465,17.93
1999,"Benin",504.3318,465,17.44
2000,"Benin",512.9553,465,16.95
2001,"Benin",527.8745,474,16.72
2002,"Benin",533.3832,476,16.27
2003,"Benin",535.9536,468,15.39
2004,"Benin",534.7388,490,15.50
2005,"Benin",532.611,571,17.40
2006,"Benin",535.494,596,17.49
2007,"Benin",543.2932,596,16.87
2008,"Benin",553.6371,636,17.40
2009,"Benin",551.929,659,17.42
2010,"Benin",550.3217,686,17.52
2011,"Benin",552.5937,726,17.96
2012,"Benin",566.7127,730,17.49
2013,"Benin",582.8577,766,17.79
1989,"Bermuda",55376.43,1,1.68
1990,"Bermuda",54934.27,1,1.69
1991,"Bermuda",53266.54,1,1.76
1992,"Bermuda",53621.74,1,1.74
1993,"Bermuda",54939.64,1,1.69
1994,"Bermuda",54887.06,1,1.70
1995,"Bermuda",56893.05,1,1.62
1996,"Bermuda",58000.73,0,1.59
1997,"Bermuda",60299.72,0,1.51
1998,"Bermuda",62192.91,0,1.45
1999,"Bermuda",63937.87,0,1.39
2000,"Bermuda",69275.61,0,1.22
2001,"Bermuda",73481.59,0,1.12
2002,"Bermuda",71926.18,0,1.16
2003,"Bermuda",73894.27,0,1.12
2004,"Bermuda",75117.28,0,1.09
2005,"Bermuda",75882.03,0,1.07
2006,"Bermuda",79630.81,0,0.99
2007,"Bermuda",81436.34,0,0.95
2008,"Bermuda",82192.93,0,0.93
2009,"Bermuda",77419.16,0,1.03
2010,"Bermuda",76393.83,0,1.06
2011,"Bermuda",74483.14,0,1.11
2012,"Bermuda",70600.98,0,1.21
2013,"Bermuda",71407.03,0,1.20
1989,"Bhutan",586.8224,32,16.83
1990,"Bhutan",643.0948,32,16.49
1991,"Bhutan",641.4692,30,15.68
1992,"Bhutan",679.3662,30,15.85
1993,"Bhutan",705.2056,27,14.68
1994,"Bhutan",750.928,29,15.98
1995,"Bhutan",807.971,26,14.36
1996,"Bhutan",847.1304,26,13.95
1997,"Bhutan",878.0054,27,13.96
1998,"Bhutan",907.9936,26,13.24
1999,"Bhutan",953.9253,26,12.17
2000,"Bhutan",991.5913,27,12.20
2001,"Bhutan",1042.392,28,11.62
2002,"Bhutan",1120.338,30,11.66
2003,"Bhutan",1171.121,31,11.18
2004,"Bhutan",1205.917,32,11.13
2005,"Bhutan",1258.991,32,10.51
2006,"Bhutan",1314.601,32,10.09
2007,"Bhutan",1518.771,30,8.96
2008,"Bhutan",1561.779,30,8.89
2009,"Bhutan",1636.473,31,8.85
2010,"Bhutan",1796.829,30,8.42
2011,"Bhutan",1905.42,31,8.34
2012,"Bhutan",1968.611,32,8.26
2013,"Bhutan",1976.553,33,8.28
1989,"Bolivia",815.9432,222,8.63
1990,"Bolivia",833.8649,229,8.64
1991,"Bolivia",857.2528,240,8.77
1992,"Bolivia",850.993,239,8.47
1993,"Bolivia",866.7069,250,8.58
1994,"Bolivia",886.3715,265,8.82
1995,"Bolivia",906.9871,270,8.71
1996,"Bolivia",925.7396,277,8.59
1997,"Bolivia",950.7095,299,8.88
1998,"Bolivia",977.4891,281,8.15
1999,"Bolivia",961.3509,293,8.32
2000,"Bolivia",965.4075,298,8.26
2001,"Bolivia",961.9829,308,8.33
2002,"Bolivia",966.4637,313,8.24
2003,"Bolivia",973.574,327,8.38
2004,"Bolivia",995.3472,333,8.33
2005,"Bolivia",1020.79,329,8.03
2006,"Bolivia",1051.472,329,7.82
2007,"Bolivia",1081.392,326,7.53
2008,"Bolivia",1129.481,339,7.63
2009,"Bolivia",1148.787,355,7.76
2010,"Bolivia",1176.974,351,7.49
2011,"Bolivia",1217.746,354,7.37
2012,"Bolivia",1259.814,368,7.47
2013,"Bolivia",1323.125,381,7.56
1989,"Bosnia and Herzegovina",601.1523,398,24.71
1990,"Bosnia and Herzegovina",603.1587,368,23.12
1991,"Bosnia and Herzegovina",591.5439,323,21.18
1992,"Bosnia and Herzegovina",572.9702,269,18.78
1993,"Bosnia and Herzegovina",566.7534,239,17.78
1994,"Bosnia and Herzegovina",570.5338,214,16.79
1995,"Bosnia and Herzegovina",716.298,128,10.15
1996,"Bosnia and Herzegovina",1367.254,147,11.42
1997,"Bosnia and Herzegovina",1811.245,130,9.97
1998,"Bosnia and Herzegovina",2033.517,123,9.24
1999,"Bosnia and Herzegovina",2162.691,114,8.36
2000,"Bosnia and Herzegovina",2232.63,98,7.09
2001,"Bosnia and Herzegovina",2303.835,99,7.11
2002,"Bosnia and Herzegovina",2414.594,97,6.97
2003,"Bosnia and Herzegovina",2512.338,93,6.67
2004,"Bosnia and Herzegovina",2671.801,97,7.01
2005,"Bosnia and Herzegovina",2810.377,95,6.89
2006,"Bosnia and Herzegovina",2988.218,94,6.86
2007,"Bosnia and Herzegovina",3197.91,93,6.70
2008,"Bosnia and Herzegovina",3377.753,92,6.46
2009,"Bosnia and Herzegovina",3286.061,91,6.41
2010,"Bosnia and Herzegovina",3315.531,91,6.36
2011,"Bosnia and Herzegovina",3353.046,92,6.35
2012,"Bosnia and Herzegovina",3317.177,90,6.21
2013,"Bosnia and Herzegovina",3403.535,93,6.36
1989,"Botswana",3599.292,6,1.11
1990,"Botswana",3730.676,2,0.36
1991,"Botswana",3894.675,20,3.39
1992,"Botswana",3897.32,22,3.54
1993,"Botswana",3865.841,41,6.47
1994,"Botswana",3903.5,36,5.47
1995,"Botswana",4076.117,59,8.61
1996,"Botswana",4213.857,62,8.73
1997,"Botswana",4452.217,49,6.66
1998,"Botswana",4392.142,85,11.15
1999,"Botswana",4725.215,58,7.37
2000,"Botswana",4735.539,62,7.65
2001,"Botswana",4672.937,42,5.06
2002,"Botswana",4886.344,43,4.99
2003,"Botswana",5046.472,38,4.34
2004,"Botswana",5121.16,46,5.09
2005,"Botswana",5294.379,81,8.86
2006,"Botswana",5655.073,30,3.22
2007,"Botswana",6084.313,48,5.06
2008,"Botswana",6261.106,48,4.99
2009,"Botswana",5716.968,66,6.75
2010,"Botswana",6152.727,25,2.52
2011,"Botswana",6476.051,24,2.39
2012,"Botswana",6697.425,66,6.44
2013,"Botswana",7027.25,64,6.24
1989,"Brazil",4252.147,3727,6.10
1990,"Brazil",3999.429,3824,6.11
1991,"Brazil",3993.057,4048,6.10
1992,"Brazil",3911.571,4254,6.05
1993,"Brazil",4031.129,4278,5.96
1994,"Brazil",4181.665,4747,6.44
1995,"Brazil",4300.07,4412,5.83
1996,"Brazil",4325.679,4371,5.81
1997,"Brazil",4403.812,4500,5.78
1998,"Brazil",4339.17,4633,5.81
1999,"Brazil",4286.173,4790,5.81
2000,"Brazil",4406.713,4862,5.80
2001,"Brazil",4402.511,4960,5.83
2002,"Brazil",4458.334,5252,5.99
2003,"Brazil",4450.926,5484,6.13
2004,"Brazil",4647.527,5499,5.98
2005,"Brazil",4739.306,5431,5.74
2006,"Brazil",4874.602,5440,5.68
2007,"Brazil",5121.029,5492,5.68
2008,"Brazil",5336.079,5608,5.70
2009,"Brazil",5271.138,5710,5.71
2010,"Brazil",5618.325,5678,5.58
2011,"Brazil",5721.29,5803,5.62
2012,"Brazil",5730.249,5951,5.68
2013,"Brazil",5823.044,6116,5.76
